department,focus_group_name,pain_point,expectations
FPB,Fire,,Make it one way to document different people do thing differently and put in different places
FPB,Fire,,Fix this! Make sure they are active in IPS
FPB,Fire,Too many places to look for things,
FPB,Fire,Inactive parcels,
FPB,Fire,Parcel address has to be exact,
FPB,Fire,Parcel contains multiple building/businesses,
FPB,Fire,"It's cumbersome, doesn’t work offsite they have to be at desktop or remote in to use",
Law,Law,I can’t complete an affirmation if the notices and nail & mail aren’t uploaded into IPS,
Law,Law,The layout of the action notes,
Law,Law,,The format makes it hard to read everything at once
Law,Law,,(to keep) I like the images tab so I can look at the notices directly
Law,Law,Inability to access water records without AS400,
Law,Law,Inspectors don’t always take good records,
Law,Law,Cannot combine open violations from multiple complaints,
Law,Law,,Integrate water records into recordkeeping tools
Law,Law,,Require confirmation that documents were uploaded and work was done
Law,Law,,Make overview reports available for properties
Law,Law,"Issues with water, tax not easily tacked",
Law,Law,Permissions for certain action  by property,
Law,Law,,(to keep) Intuitive interface
Law,Law,,(to keep) Easy to find individual complaints
Law,Law,,Compatibility with office
Law,Law,IPS is underutilized:,
Law,Law,"Documents not loaded, notes needed",
Law,Law,,More disciplinary entry of notes and documents
Law,Law,Not so much IPS but that it’s underutilized at times by Codes incomplete or missing information,
Law,Law,,(to keep) When fully utilized by codes it is a resource for information
Law,Law,,Ability for IPS information to be transferred to MS word
NBD,NBD Data Team,"Leak of standardized / consistent data entry, often due to lack of standardized actions aren’t used",
NBD,NBD Data Team,Lack of automation eg. Doubling fines after at time condition for much of BAA process,
NBD,NBD Data Team,Lack of consistent system use outside of codes for interdepartmental projects / co-ordination,
NBD,NBD Data Team,Segmentation between Camino & IPS for permitting data,
NBD,NBD Data Team,Tracking for users also cause of continuity for data reporting,
NBD,NBD Data Team,Lack of timely system updates (IT),
NBD,NBD Data Team,"Clunky – easy to accidentally break things inaditantly – make codes item, had to regenerate codes book with rendor",
NBD,NBD Data Team,,"Process mapping & SOPS, system training & support"
NBD,NBD Data Team,Lack of data validation & required fields – data quality issues because questions are skipped or dropdown item not referred are selected,
NBD,NBD Data Team,IPS custom forms – limited functionality can obtain and use feature to populate the system data,
NBD,NBD Data Team,Limited ability to manage content when resubs occur – active cases can be in active parcels. IPS doesn’t allow for copying of records for historical record keeping purposes. Not obtitus what the related parcel  can type,
NBD,NBD Data Team,Limited ability to track large cases of unitl level for multifamily / mixed use and / or apartment buildings sub pacels not adequate for addressing this,
NBD,NBD Data Team,Address book – unable to add related addresses if contact already stored,
NBD,NBD Data Team,Limited frontend reporting capabilities,
NBD,NBD Data Team,BAA process system needs to be able to track BAA outcomes violation level not just overall case level,
NBD,NBD Data Team,,(to keep) RPS to IPS assessment sync daily: always have current ownership information
NBD,NBD Data Team,,(to keep) Panel based
NBD,NBD Data Team,,(to keep) Periodic module: ability to batch generate renewal letters when property comes due
NBD,NBD Data Team,,(to keep) Backend access to our own data
NBD,NBD Data Team,,(to keep) Based roles / permisions
NBD,NBD Data Team,,(to keep) Workflow configuration abilities (they are limited not easy to set up)
NBD,NBD Data Team,,(to keep) New record type configuration abilities / “maintenance” menu
NBD,NBD Data Team,,(to keep) “one stop shop” for property records (pre-camino)
NBD,NBD Data Team,,"(to keep) Zoning, Codes, Permits, Fire"
NBD,NBD Data Team,,Imporved case management tools for users: ability to finding upcoming unclosed so routes can be planned more ethuinituly
NBD,NBD Data Team,,"High level front-end reporting capabilities for leadership – compliance, on building block log cases, time to resolve, cases infor updates in x makes, etc"
NBD,NBD Data Team,,Direct scheduling for applicants! Ontwok integration
NBD,NBD Data Team,,"Usability or monthly quick links to other systems – AS400, Camino"
NBD,NBD Data Team,Difficult to find specific complaints,
NBD,NBD Data Team,Unable to add things to IPS through code,
NBD,NBD Data Team,Sub parcels are often unused,
NBD,NBD Data Team,,Have cleaner sorting and filtering features within a parcel
NBD,NBD Data Team,,Add insert / update / delete functionality
NBD,NBD Data Team,,Have them be a component of main parcel?
NBD,NBD Data Team,Dated workflow system (not programmable),
NBD,NBD Data Team,Better case management: Reminder dates as actions in IPS for inspection.  Confusing with others being inspections,
NBD,NBD Data Team,Lack of clear way to link cases,
NBD,NBD Data Team,Lack of data validation for user defined attributes,
NBD,NBD Data Team,,(to keep) Ability to pull data with SQL
NBD,NBD Data Team,,Easier way to modify violations.
NBD,NBD Data Team,,For sorting and categorizing
NBD,NBD Data Team,,Updating IPS through SQL
NBD,NBD Data Team,,Easier complaint search on parcel view
NBD,NBD Data Team,,Violations summary & units affected
NBD,NBD Data Team,"I spend several hours a week updating IPS on the front-end, manually.",
NBD,NBD Data Team,Workflow capabilities limited,
NBD,NBD Data Team,Systems are siloed (IPS can’t communicate with other systems well),
NBD,NBD Data Team,Units! Subparcels,
NBD,NBD Data Team,No data validation!,
NBD,NBD Data Team,,"Being able to post to the database (eg, to flag a batch of parcels as vacant once a week)"
NBD,NBD Data Team,,"More robust automation or scripting possibilities, so that more updates or QA/QC can be automated"
NBD,NBD Data Team,,"Allow for if this then that bridges between programs, integrations with a CRM or GIS software, etc"
NBD,NBD Data Team,,"I’m not sure the best improvement here, but tracking residential units and which complaint goes to which unit is so frustrating"
NBD,NBD Data Team,,The ability to configure validation for different data fields
NBD,NBD Data Team,We can only update on the front-end and have to request the vendor do batch updates,
NBD,NBD Data Team,System is buggy but updates are slow and complicated (Rose talked about this too),
NBD,NBD Data Team,"Resubs are so hard to find the related parcel, and there’s minimal automated processes for migrating cases, attributes, etc. to the new parcel. This complicates managing other programs",
NBD,NBD Data Team,,"(to keep) Customizability for actions, attributes, etc. (eg, “Rental Registry Required”)"
NBD,NBD Data Team,,(to keep) Approval groups so that case management & review happens in the same system
NBD,NBD Data Team,,I want better documentation for the database. We don’t have any robust EO diagrams!
NBD,NBD Data Team,,"Please, let’s have modern scripting options (eg, Python not Visual Basic; posting to the database)"
NBD,NBD Data Team,,"If the new software could integrate with Esri, a contact management software (like Salesforce), or other tools, we could accomplish so much more"
NBD,NBD Internal,Some ERP referrals do not show up in the desk review section on home page,
NBD,NBD Internal,Cannot select from drop-down the type of referrals,
NBD,NBD Internal,Need a system for DSS referral (refugee resettlement),
NBD,NBD Internal,,Might be a bug
NBD,NBD Internal,,A drop down for ERP referrals to indicate where the referral came
NBD,NBD Internal,,Build system with drop down selection of where the referred came from to start documenting which agency placed them.
NBD,NBD Internal,,Something tangible that can get auto emailed to ambassadors
NBD,NBD Internal,non–chronological on the view page of when cases are open at the address look up,
NBD,NBD Internal,,(to keep) Allow all users to leave notes “codes staff notes”
NBD,NBD Internal,,Geographic viewing of addresses nearby.
NBD,NBD Internal,Property research: inability to pull information from county clerk database,
NBD,NBD Internal,,Data sharing / backend access with county
NBD,NBD Internal,Contact book abyss,
NBD,NBD Internal,If you open a complaint while in another,
NBD,NBD Internal,,(to keep) Interdepartmental access
NBD,NBD Internal,Lack of automation for data entry,
NBD,NBD Internal,Different systems for each thing,
NBD,NBD Internal,Switch to camino has made information harder to find cross system,
NBD,NBD Internal,No cross-departmental usage,
NBD,NBD Internal,,Ways to mass enter data not through Hamer
NBD,NBD Internal,,"eTax, IPS, AS400, Camino, etc. Too many to consolidate. Should be easier to access information from standard site"
NBD,NBD Internal,,"Old permit information hasn’t been transferred. They’ve stopped storing insurances, surveys need better record storage"
NBD,NBD Internal,,Something NBD/Law /Finance can all use
NBD,NBD Internal,Runs slow when trying to enter a spreadsheet of data by hand,
NBD,NBD Internal,Random crashes / restarts,
NBD,NBD Internal,,"(to keep) Easy interface, can see whole story at once"
NBD,NBD Internal,,(to keep) Tickle dates / reminders
NBD,NBD Internal,,(to keep) Ability to add / remove entry option at will
NBD,NBD Internal,,(to keep) Ability to pull data from multiple cases at once
