department,focus_group_name,pain_point,expectations
BAA,BAA Supervisors,Note taking (nothing technical),
BAA,BAA Supervisors,,Putting notes in uniform manner
BAA,BAA Supervisors,,(to keep) Don't use it enough
CPC,CPC,BAA fines,
CPC,CPC,Open / closed symbols on complaints,
CPC,CPC,,BAA update timely
CPC,CPC,,User updates
CPC,CPC,Account balance for entire property,
CPC,CPC,,(to keep) Photos!
CPC,CPC,,"At a glance status of properties – RR renewal date, same for CofU, CofC, VPR."
CPC,CPC,Violation sheet mixed with everything else,
CPC,CPC,,Maybe a tab just for BAA violation ticket and not mixed in with the warning and everything else
CPC,CPC,Maybe the speed sometimes,
CPC,CPC,,(to keep) The complaint look up tool is the best
CPC,CPC,,The information IPS has is good but just a tab for violation ticket separate for all the warning and image would make things easier
CPC,CPC,,Can the IPS software automatically add the late fees to all existing code violations to avoid incorrect information being recorded or provided to the customer.
CPC,CPC,,Can the violation and BAA ticket be different and not so identical for easy processing purpose and not to confuse everyone involved.
CPC,CPC,Searching complaints by address – most green / pink icons are incorrect,
CPC,CPC,When a property has many violations- it loads slower,
CPC,CPC,Search by ticket number and violation number,
CPC,CPC,Currently only allows search by ticket number,
CPC,CPC,,I could help update when I see some that could be closed
CPC,CPC,,Maybe its my computer
CPC,CPC,,Add one more search function
CPC,CPC,Open / closed icons are mostly incorrect,
CPC,CPC,,(to keep) Search by address / owner / ticket number
CPC,CPC,,(to keep) Address always matches eTax. If there’s a typo or abbreviation – IPS will match eTax
CPC,CPC,,"After searching by owner name or address, if the list of violations could show the amount owed. It would save more time opening each violations."
CPC,CPC,It’s straightforward,
CPC,CPC,,(to keep) Works well
CPC,CPC,Ability to cross-reference account other than address,
CPC,CPC,Any accounts listed under an individual,
CPC,CPC,,Businesses on system should also list owner’s / responsible party name
CPC,CPC,,System could automatically duplicate email address + phone for every account on system once completed for one account manually
CPC,CPC,,Recode items which have current money owed to a “Red dot“ instead of purple or green so it stands out and would eliminate need to double click each entry.
CPC,CPC,,(to keep) Searching under complaints brings up useful + useless information regarding penalty fees currently owed when you input address
CPC,CPC,,AS400 – water
CPC,CPC,,Need to duplicate password entry
CPO,Permits,Too many applications,
CPO,Permits,Lack of integration (data being shared),
CPO,Permits,Notification to code enforcement applicants and reviews,
CPO,Permits,,One database that stores and allows /facilitates application progress
CPO,Permits,,Improve documentation capabilities
CPO,Permits,Applications cannot see status,
CPO,Permits,No integration with other software used,
CPO,Permits,,(to keep) Printing review team comments
CPO,Permits,,(to keep) Contractor database (insurance)
CPO,Permits,Split permits and codes,
CPO,Permits,Reads less like a report and more like a hunt for information,
CPO,Permits,,(to keep) “Address book”
CPO,Permits,,(to keep) Printing capabilities
CPO,Permits,,(to keep) Alerts (eg. eta)
CPO,Permits,,(to keep) customizing user capability
CPO,Permits,,(to keep) Comment editing
CPO,Permits,,(to keep) Recording users
CPO,Permits,,(to keep) I like OnBase layout
CPO,Permits,,Ideally it would be aide to someone integrate with camino.
CPO,Permits,,I think from codes perspective the information is scattered
CPO,Permits,,"Eg. Ideally, If IPS could integrate with Camino if a violation were in the system it could trigger an alert in camino on app>"
CPO,Permits,In camino when application uploads the wrong document,
CPO,Permits,,(to keep) I like that IPS can print out reviewer's comments on one concise report
CPO,Permits,,(to keep) Using it as a system of record for code enforcement
DOCE,Admin Aide,Filling out appointments separately,
DOCE,Admin Aide,Sometimes it saves sometimes it doesn’t; different parts of IPS setup differently not cohesive throughout,
DOCE,Admin Aide,Cannot search person with associated addresses/complaints,
DOCE,Admin Aide,Difficult to find individual complaints,
DOCE,Admin Aide,Reverts to former address updated addresses don’t always stay saved,
DOCE,Admin Aide,,autofill from linked outlook and IPS modules
DOCE,Admin Aide,,Same format throughout
DOCE,Admin Aide,,"Search in address book would populate all associated properties complaints, violations"
DOCE,Admin Aide,,More detailed preview
DOCE,Admin Aide,Does not spell/grammer check,
DOCE,Admin Aide,"GIS deed search, catchments should be a part f each parcel",
DOCE,Admin Aide,,(to keep) Lots of options in the drop downs
DOCE,Admin Aide,,(to keep) Automatically adding – in phone numbers
DOCE,Admin Aide,Phone calls dropping,
DOCE,Admin Aide,Can't upload attachments,
DOCE,Admin Aide,Saving an inspection after scheduling crashes IPS or sometimes it slows down,
DOCE,Admin Aide,Inspector names listed for periodic inspection are never in order/alphabetical,
DOCE,Admin Aide,Sometimes Rent Holds / Rent Release doesn’t appear as an option to input,
DOCE,Admin Aide,,Faster processing speed or more data for the software to run smoothly so it doesn’t crash often
DOCE,Admin Aide,,Making it so we can seek the names alphabetically or programming it to do so
DOCE,Admin Aide,,Adding Rent Hold / Rent Release as option for all cases since some case types doesn’t list them
DOCE,Admin Aide,The fact that the processing speed after saving things lags.,
DOCE,Admin Aide,"We can’t have to man windows/tabs open at once sometimes because it slows down and crashes. However, due to the volume of calls we get and they can be consecutive we don’t always have the time to close everything in between",
DOCE,Admin Aide,,(to keep) The actions for IPS are really solid and cover most things that we need to enter
DOCE,Admin Aide,Prolonged loading time,
DOCE,Admin Aide,Freezing and crashing of IPS,
DOCE,Admin Aide,,"If there was more organization in the periodic inspection table, there are too many unused options and the list is random"
DOCE,Building Inspectors,Updated Contact Information,
DOCE,Building Inspectors,Updated address,
DOCE,Building Inspectors,Task to be done for inspection addressed before Inspection,
DOCE,Building Inspectors,,Make sure we have the most current information
DOCE,Building Inspectors,,Make sure we have the most current address
DOCE,Building Inspectors,,Better communication
DOCE,Building Inspectors,New tablets,
DOCE,Building Inspectors,,(to keep) Updated tablets and software that actually works
DOCE,Building Inspectors,,Sprinkler system reports & elevator reports – access to them at least
DOCE,Building Inspectors,Citing in field,
DOCE,Building Inspectors,Required permits,
DOCE,Building Inspectors,,Tablets that are faster
DOCE,Building Inspectors,,Communication within departments
DOCE,Building Inspectors,some information is outdated,
DOCE,Building Inspectors,,(to keep) simplicity
DOCE,Building Inspectors,,Apps on iPhone
DOCE,Building Inspectors,Having to rely on other people,
DOCE,Building Inspectors,So many systems,
DOCE,Building Inspectors,Lack of communication,
DOCE,Building Inspectors,Getting blamed for slow BAA and Law process,
DOCE,Building Inspectors,,Single system
DOCE,Building Inspectors,,Single system
DOCE,Building Inspectors,Ownership issues/updates,
DOCE,Building Inspectors,Too many areas for same information,
DOCE,Building Inspectors,Not able to hold all information we need,
DOCE,Building Inspectors,Finding cases,
DOCE,Building Inspectors,,(to keep) Documents can be saved in the system
DOCE,Building Inspectors,,The same as AS400.
DOCE,Building Inspectors,,If it could hold everything I need.
DOCE,Building Inspectors,Zoning approval/zone check,
DOCE,Building Inspectors,Tax delinquecy,
DOCE,Building Inspectors,,(to keep) Reminder dates
DOCE,Building Inspectors,Elevator certification,
DOCE,Building Inspectors,Water certification,
DOCE,Building Inspectors,,Have a note that says pass instead calling permits
DOCE,Building Inspectors,,Have that in IPS
DOCE,Building Inspectors,Crashing at least thrice a week,
DOCE,Building Inspectors,Doesn't show zoning work on our case,
DOCE,Building Inspectors,,(to keep) I think all of it is very good
DOCE,Building Inspectors,,Just elevator certificate
DOCE,CPO-Coordinators,Moving things / duplicating from Camino to IPS,
DOCE,CPO-Coordinators,Application process made more difficult with Camino,
DOCE,CPO-Coordinators,,One system for everything
DOCE,CPO-Coordinators,,Get rid of Camino!
DOCE,CPO-Coordinators,Workflows often “break” / stop working,
DOCE,CPO-Coordinators,"Nowhere to notify me of renewal / expirations, unless report if generated",
DOCE,CPO-Coordinators,Case management could be made easier somehow,
DOCE,CPO-Coordinators,,(to keep) I like IPS and would continue using – it's easy
DOCE,CPO-Coordinators,,(to keep) Record keeping and finding is simple and effiiceint
DOCE,CPO-Coordinators,,(to keep) Scheduling inspections is easy
DOCE,CPO-Coordinators,,"(to keep) Can print reviewer’s comments easily, can print standard notices easily, saves all printed documents automatically"
DOCE,CPO-Coordinators,,"Customized certificates, simpler case management, more efficient expiration/renewal notification so report isn’t needed, automatic renewal letters sent to a queue?"
DOCE,CPO-Coordinators,60day notices: crashes and takes time to process,
DOCE,CPO-Coordinators,Applicant communication,
DOCE,CPO-Coordinators,Updating owner information,
DOCE,CPO-Coordinators,,Migrate list (tracking) out of IPS (this can be an excel file)
DOCE,CPO-Coordinators,,Online system to schedule inspections (already used elsewhere)
DOCE,CPO-Coordinators,,Some owners have numerous accounts in IPS
DOCE,CPO-Coordinators,Attachments and IPS crashing (saving attachments),
DOCE,CPO-Coordinators,IPS crashes,
DOCE,CPO-Coordinators,Having multiple tabs in IPS and everyone isn’t on them (periodic vs complaint),
DOCE,CPO-Coordinators,,(to keep) Working with different departments and giving “tickle” dates
DOCE,CPO-Coordinators,Why is family based not in Camino,
DOCE,Housing Inspectors,When IPS freezes or not working efficiently it can cause a delay in process,
DOCE,Housing Inspectors,,I have no idea; I am not sure why IPS has lapses so I am not sure how to improve/fix
DOCE,Housing Inspectors,The lapses - “freezing” or “loading” that occasionally happens.,
DOCE,Housing Inspectors,If the Rental registry portal a.k.a. “Periodic Inspection” and IPS were more streamlined it could be more efficient,
